大限/流年,干支,主星1,主星1本命四化,主星1大限四化,主星1流年四化,主星2,主星2本命四化,主星2大限四化,主星2流年四化,本命祿存,大限祿存,流年祿存,本命擎羊,大限擎羊,流年擎羊,本命陀羅,大限陀羅,流年陀羅,火星,鈴星,地空,地劫,本命紅鸞,流年紅鸞,本命天喜,流年天喜,文昌,文昌本命四化,文昌大限四化,文昌流年四化,文曲,文曲本命四化,文曲大限四化,文曲流年四化,左輔,左輔本命四化,左輔大限四化,左輔流年四化,右弼,右弼本命四化,右弼大限四化,右弼流年四化,大限宮位,本命宮位,boshi
本命,丙子, , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,子女,蜚廉
本命,丁丑, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,夫妻,喜神
本命,丙寅, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,兄弟,病符
本命,丁卯,廉貞, , , ,破軍, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,命宮,大耗
本命,戊辰, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,父母,伏兵
本命,己巳,天府, , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,福德,官符
本命,庚午,天同, , , ,太陰, , , ,1, , , , , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , , ,田宅,博士
本命,辛未,武曲,祿, , ,貪狼,權, , , , , ,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,官祿,力士
本命,壬申,太陽, , , ,巨門, , , , , , , , , , , , , , , , , , , , , , , , ,1,忌, , , , , , , , , , , ,僕役,青龍
本命,癸酉,天相, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,遷移,小耗
本命,甲戌,天機, , , ,天梁,科, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,疾厄,將軍
本命,乙亥,紫微, , , ,七殺, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,財帛,奏書
1限,丙子, , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,大子,子女,蜚廉
1限,丁丑, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,大夫,夫妻,喜神
1限,丙寅, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,大兄,兄弟,病符
1限,丁卯,廉貞, , , ,破軍, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,大命,命宮,大耗
1限,戊辰, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大父,父母,伏兵
1限,己巳,天府, , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , ,大福,福德,官符
