ID,大限,受訪時大限,Rule1,Rule2,Rule3,Rule4,Rule5,Rule6,Rule7,Rule8,Rule9,Rule10,Rule11,Rule12,Rule13,Rule14,Rule15,Rule16,Rule17,Rule18,Rule19,Rule20
103,1,3,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0
103,2,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
103,3,3,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
103,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
103,5,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
103,6,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
103,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
103,9,3,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
103,10,3,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
104,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
104,3,3,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0
104,4,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
104,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
104,6,3,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
104,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,9,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
104,10,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
106,1,4,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
106,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,3,4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
106,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
106,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
106,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,7,4,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
106,8,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
106,9,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
106,10,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0
137,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
137,2,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
137,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
137,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
137,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,6,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
137,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
137,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
137,10,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
226,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
226,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,4,4,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
226,5,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
226,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
226,7,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
226,8,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
226,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,10,4,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0
229,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,2,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
229,3,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
229,4,5,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1
229,5,5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
229,6,5,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
229,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,8,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0
229,9,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
229,10,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
302,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
302,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
302,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
302,4,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
302,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
302,6,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
302,7,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
302,8,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
302,9,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
302,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
310,1,6,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
310,2,6,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0
310,3,6,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
310,4,6,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
310,5,6,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
310,6,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
310,7,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
310,8,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
310,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,10,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
410,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,2,7,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
410,3,7,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
410,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
410,5,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
410,6,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
410,7,7,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
410,8,7,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
