大限/流年,天干,地支,大限宮位,本命宮位,主星1,主星1本命四化,主星1大限四化,主星1流年四化,主星2,主星2本命四化,主星2大限四化,主星2流年四化,本命祿存,大限祿存,流年祿存,本命擎羊,大限擎羊,流年擎羊,本命陀羅,大限陀羅,流年陀羅,火星,鈴星,地空,地劫,本命紅鸞,流年紅鸞,本命天喜,流年天喜,文昌,文昌本命四化,文昌大限四化,文昌流年四化,文曲,文曲本命四化,文曲大限四化,文曲流年四化,左輔,左輔本命四化,左輔大限四化,左輔流年四化,右弼,右弼本命四化,右弼大限四化,右弼流年四化,boshi
本命,丙,子, ,遷移,破軍, , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , ,蜚廉
本命,丁,丑, ,疾厄,天機, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,喜神
本命,丙,寅, ,財帛,紫微, , , ,天府, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,病符
本命,丁,卯, ,子女,太陰, , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,大耗
本命,戊,辰, ,夫妻,貪狼,權, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,忌, , , , , , , , , , ,伏兵
本命,己,巳, ,兄弟,巨門, , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,官符
本命,庚,午, ,命宮,廉貞, , , ,天相, , , ,1, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,博士
本命,辛,未, ,父母,天梁,科, , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,力士
本命,壬,申, ,福德,七殺, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,青龍
本命,癸,酉, ,田宅,天同, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,小耗
本命,甲,戌, ,官祿,武曲,祿, , , , , , , , , , , , , , , , ,1, , , , , , ,1, , , , , , , , , , , , , , , ,將軍
本命,乙,亥, ,僕役,太陽, , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , ,奏書
1限,丙,子,大遷,遷移,破軍, , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , ,蜚廉
1限,丁,丑,大疾,疾厄,天機, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,喜神
1限,丙,寅,大財,財帛,紫微, , , ,天府, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,病符
1限,丁,卯,大子,子女,太陰, , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,大耗
1限,戊,辰,大夫,夫妻,貪狼,權, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,忌, , , , , , , , , , ,伏兵
1限,己,巳,大兄,兄弟,巨門, , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,官符
1限,庚,午,大命,命宮,廉貞, , , ,天相, ,忌, ,1, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,博士
1限,辛,未,大父,父母,天梁,科, , , , , , , , , ,1, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,力士
