,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,ID,大限,Rule1,Rule2,Rule3,Rule4,Rule5,Rule6,Rule7,Rule8,Rule9,Rule10,Rule11,Rule12,Rule13,Rule14,Rule15,Rule16,Rule17,Rule18,Rule19,Rule20
0,90406,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,90406,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2,90406,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,90406,4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
4,90406,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5,90406,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,90406,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,90406,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,90406,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
9,90406,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10235,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1
1,10235,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2,10235,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,10235,4,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
4,10235,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10235,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
6,10235,7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
7,10235,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,10235,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10235,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,80612,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1
1,80612,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,80612,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,80612,4,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
4,80612,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,80612,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
6,80612,7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
7,80612,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,80612,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,80612,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
